COID,MPKEY,MPNAME,MPSTAND,MPUNIT,PID,PNAME,PSTAND,PUNIT,PORG,PMAKE,PEXPL
3001,4216813,양념치킨소스/순한맛,2235.오뚜기.오쉐프통닭양념순한맛.파우치,kg,78647,오쉐프통닭양념순한맛,2Kg,kg,,오뚜기,물엿|정제수|야채믹스|토마토페이스트|변성정분|백설탕|정제소금|발효식초
3001,3997831,김(참김) / 상급품,0.01kg / 일회용 도시락김 5g   김(국산),개,70477,더바삭한김[식탁12P(8매),5g,개,(5gx12개)x10봉/6개월,동원,300도씨고온으로한번더구워더바삭한~옛날방앗간방식그대로짜낸들기름과참기름을함꼐사용하여더고소한~재래김(국산)45.3%|카놀라유|들기름|참기름|천일염|허브추출물
3001,4346332,핫도그|냉동품/흑임자핫도그,풀무원|두부담은찰도그롤 600g(60g*10),kg,9124,바른선|두부담은찰도그롤,600g(60g*10ea),kg,9월행사,풀무원,푸드머스후랑크50.00%[돼지고기36.71%(국산)| 돈지방(국산)| 닭고기36.71%(국산)
3001,3850178,미역/말린것,청정미역| 200-250g| 건미역 100%(남해안산)| HACCP인증|  브랜드 이상의 제품(대상 등),kg,15894,청정미역200g,200g,kg,,대상,건미역100%(남해안산)
3001,4468479,카레소스|분말/카레소스|분말,카레가루/순한맛/오뚜기/청정원,kg,14855,오뚜기카레순한맛,1Kg,kg,,오뚜기,밀가루(밀:미국산/호주산)|덱스트린|카레분10.5%[강황(인도산)|코리안더(모로코산/캐나다산)|쿠민|훼누그릭|휀넬]|혼합식용유[팜올레인유(말레이시아산)|팜스테아린유(말레이시아산)]|정제소금|옥수수분|복합조미식품|식물성크림|양파맛분말|마늘맛분말
1010,942432,주꾸미 / 주꾸미,수협바다마트|거제수협|베트남산|세절|냉동,kg,7733,주꾸미채,1kg/냉동,봉,베트남,수협바다마트,
3001,4025680,양송이버섯 / 통조림,2.84kg / 3k,통,23287,양송이캔(S/L),2.84kg,캔,,수정,
1010,1083915,다랑어(황다랑어) / 통조림,2.00kg 참치파우치. 오뚜기또는동원F&B| 유통기한표기,봉,34737,참치파우치,2kg,봉,,오뚜기,
1010,954983,고추장 / 고추장|개량식,14.00kg 국내산| haccp| 청정원순창 태양초 진 또는 청정원 순창 우리쌀로만든태양초|해찬들알찬|14kg|,통,82390,진고추장,14kg,통,,청정원,
1010,957877,참깨|흰깨 / 볶은것,(일반농산물) 국산|말린것| 2012년산| 유가| 위생포장,kg,72535,참깨,600g,봉,,유가농협,
3001,3942596,설탕/백설탕,kg / (제당 청정원)백설탕 1kg,kg,13016,백설하얀설탕,1kg,kg,할인,씨제이,원당100%(수입산)3kg-10621415kg-106212
1010,839412,크림/휘핑크림,1.00l 휘핑크림|kg/팩|포장양호|냉장철저.,통,47708,휘핑크림,1L,개,,서울우유,
3001,3803502,만두 / 왕만두,비비고 한섬만두 64g / 돼지고기26.15%(국산),kg,111508,쉐프솔루션비비고한섬만두,1.28kg(64gx19±1ea),kg,지우할인,씨제이,돼지고기26.15%(국산|외국산)|밀가루(밀:미국|호주산)|부추(국산)|양배추|난백액|목이버섯|기타가공품|두류가공품외[실표기사항:돼지고기{국산78.125%|외국산(캐나다|미국|덴마크등)21.875%}|밀가루(밀:미국|호주산)|부추(국산)|양배추]
1010,1113032,김치 / 맛김치|익은것,국산|채썰기김치|종가집한라|장독김치|동원양반 배추66.4%| 고추가루4.8%| 무3%| 마늘2.7%| 생강0.7%외,kg,73871,맛김치/절단,kg,봉,,장독김치,
1010,1285975,대추 / 건과,(일반농산물) 국산|상풍|슬라이스유통기한표기,kg,40134,건대추(특초),1kg,봉,국산,산들샘,
3001,3787723,튀김가루/튀김가루,바삭튀김가루1kg |제당|오뚜기,kg,16872,(2015)쉐프원바삭튀김가루1kg,1kg,kg,,대상,소맥분(밀:미국산)|옥수수전분[옥수수:외국산(세르비아|러시아|헝가리등)]|정제소금(국내산)|마늘분말|양파분말|혼합제제{팽창제|탄산수소나트륨|소맥분}|치자황색소
3001,3931897,피자소스 / 피자소스,토마토피자소스|2k/봉,봉,53206,토마토피자소스2kg,2kg,봉,,대상,정제수|토마토페이스트|홀토마토|물엿|액상과당
1010,956213,요구르트 / 에이스야쿠르트,0.08kg 80ml/병 한국야쿠르트 에이스400  또는 남양 이오 유통기한|냉장온도유지,봉,13266,에이스400,80ml,팩,,한국야쿠르트,
3001,4060003,어묵/게맛살,대림 큰잔치|연육 63.5%이상| 냉장| 동일사양규격가능,kg,23534,게맛살큰잔치,1kg(30g*34ea),Kg,,사조대림,냉동연육62.0%(수입산)
1010,911207,상추 / 재래종,(친환경농산물) 친환경인증| 국산| 상품| 꽃상추| 지방산| 1kg/box| 싱싱하고 짙무른 곳이 없는 것| 친환경인증서 동봉|,kg,53394,친환경적상추,1kg,봉,국산,,
1010,890369,숙주나물 / 생것,(일반농산물) ㈜ 바른선 | 풀무원 길이 적당하고 보드라운 일반상품,kg,64984,*(풀무원)바른선숙주나물1kg(녹두-수입산|無성장촉진제,,봉,,,
